Disciplina;;Codigo;;Natureza;;Tempo;;Prerequisito;;Corequisito;;Presencial;;HorasSemestrais;;PD;;LB;;CP;;ES;;OR;;Semanal;;Ementa;;BibliografiaBasica;;BibliografiaCompementar
Cálculo I;;CM041;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;90 h;;90;;00;;00;;00;;00;;06 h;;Função real de uma variável real. Derivadas. Integrais. Introdução às equaçõesdiferenciais. Tópicos de Cálculo.;;<nada>;;<nada>
Cálculo II;;CM042;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;90 h;;90;;00;;00;;00;;00;;06 h;;Funções vetoriais de uma variável real. Cálculo diferencial de funções de mais deuma variável. Integração múltipla. Cálculo vetorial. Teoremas de Green, Gauss eStokes. Tópicos de Cálculo.;;<nada>;;<nada>
Geometria Analítica I;;CM045;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Vetores no plano e no espaço. Retas e planos no espaço com coordenadascartesianas. Translação e rotação de eixos. Curvas no plano. Superfícies. Outrossistemas de coordenadas.;;<nada>;;<nada>
Comunicação em Língua Brasileira de Sinais - LIBRAS;;ET082;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<nada>;;<nada>;;<nada>
Comutação I;;TE035;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<nada>;;<nada>;;<nada>
Comutação II;;TE036;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<nada>;;<nada>;;<nada>
Teoria de Tráfego;;TE037;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<nada>;;<nada>;;<nada>
Introdução a Engenharia Elétrica;;TE040;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Conceito de Engenharia. História da Engenharia. Regulamentação profissional.Atribuições do Engenheiro. Áreas de atuação do Engenheiro. Evolução daEngenharia. O Engenheiro e a sociedade. Características da Engenharia Elétrica.O processo de formação do Engenheiro Eletricista. Modelo e simulação.Otimização. Metodologia do projeto; formulação, análise, alternativas.A fabricação do produto e a garantia de qualidade. O computador na Engenharia.CAD/CAM na Engenharia. A Engenharia e o desenvolvimento industrial. Históriada Engenharia Elétrica. A Eletrônica e a Sociedade. Visitas Técnicas a indústriase empresas do ramo eletro-eletrônico.;;<nada>;;<nada>
Circuitos Elétricos I;;TE041;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;45 h;;45;;00;;00;;00;;00;;03 h;;Conceitos Preliminares. Circuitos Resistivos. Fontes dependentes ou controladas.Métodos de Análise. Teoremas de rede. Elementos armazenadores de energia.Circuitos simplificados RC e RL. Circuitos de Segunda ordem.;;<nada>;;<nada>
Laboratório de Engenharia Elétrica I;;TE042;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Utilização de instrumentos de medidas de grandezas elétricas, para validação de conceitos teóricosapresentados na disciplina de Circuitos Elétricos.;;A. Shiguto e T. Fernandes, Manual Didático:Introdução a Circuitos Elétricos, UFPR-TE-DELT, 2006,,Hayt e Kemmerly, Análise de Circuitos em Engenharia,7ª Ed.,,,Capuano, Francisco, Laboratório de Eletricidade e Eletrônica, Editora Érica, 1998,,;;Irwin, J. D., Analise De Circuitos Em Engenharia, 4ª Ed., Makron Books, 2006,,Boylestad, R. L., Introdução A Analise De Circuitos ,10º Ed., Prentice-Hall, 2008,,
Técnicas Analíticas para Engenharia Elétrica;;TE043;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;1. Integral: linha, superfície, volume.<br>2. Séries de potências<br>3. Séries de Fourier<br>4. Transformada de Fourier<br>5. Transformada de Laplace<br>6. Transformada Z<br>;;SWOKOWSKI, E.W.;Cálculo com Geometria Analítica, 2ed., vol.2, Makron Books do Brasil, 1994.,,[Integral:linha, superfície e volume, Séries de Potências]ALEXANDER, Charles K; SADIKU, Matthew N. O.; Fundamentos de Circuitos Elétricos. 1ed. Rio deJaneiro: Bookman Companhia Editora, 2003. [Séries de Fourier: cap.17, Transformada de Fourier: cap.18,Transformada de Laplace: cap 16],,OGATA, K. ; Engenharia de Controle Moderno. 3ed. Editora LTC. Rio de Janeiro, 1998. [Transformada z],,;;<nada>
Eletricidade e Eletromagnetismo;;TE044;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Carga eletrostática. Campo eletrostático. Potencial e energia eletrostáticos.Materiais elétricos e capacitância. Corrente eletrostática. Materiais condutores eresistência. Campo magnetostático. Potencial e energia magnetostáticos.Materiais magnéticos e indutância.;;HALLIDAY, David; RESNICK, Robert; WALKER, Jearl. Fundamentos de física. 4.ed. Rio deJaneiro: Livros Técnicos e Científicos, 1996. v. 3 Eletricidade e magnetismo.,,HAYT JR., William H. Eletromagnetismo. 3.ed. Rio de Janeiro: Livros Técnicos e Científicos,1985.,,SADIKU, Matthew N.O. Elementos de eletromagnetismo. 3.ed. Porto Alegre: Bookman, 2004.,,;;EDMINISTER, Joseph A. Eletromagnetismo. São Paulo: McGraw-Hill, 1980. ColeçãoSchaum.,,MACHADO, Kleber Daum. Teoria do eletromagnetismo. Ponta Grossa: UniversidadeEstadual de Ponta Grossa, 2000. v.1.,,
Circuitos Elétricos II;;TE045;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Excitação senoidal e fasores. Análise em regime permanente C.A, potência em regime permanente C.A . Circuitos trifásicos. Freqüência complexa e funções de rede. Resposta em freqüência. Transformadores.;;?Análise de Circuitos em Engenharia?. Hayt e Kemmerly. Editora Mc Graw Hill. Sétima Edição.,,?Fundamentos de Circuitos Elétricos?. Charles K. Alexander  Matthew N. O. Sadiku. Bookman, 2003.,,?Fundamentos de Análise de Circuitos Elétricos?. Johnson, Hiburn e Johnson. Editora PHB.,,;;?Introdução à Análise de Circuitos?. Boylestad. Editora PHB.,,?Teoria Básica de Circuitos?. Desoer. Editora Guanabara.?Análise de Circuitos Elétricos?. W. Bolton. Editora Mc Graw Hill.,,
Dispositivos Eletrônicos;;TE046;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Diodos Semicondutores<br>Transistor Bipolar de Junção<br>Transistores de Efeito de Campo<br>Amplificador Operacional<br>;;A.S.Sedra e K.C.Smith, Microeletrônica.,,R.L.Boylestad e L.Nashelsky, Dispositivos Eletrônicos e Teoria de Circuitos.,,A.P.Millmann ? Eletrônica, Dispositivos e Circuitos,,;;A.P.Malvino - Eletrônica,,Schilling e Belove ? Circuitos Eletrônicos Discretos e Integrados,,
Laboratório de Engenharia Elétrica II;;TE047;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;Atividades de laboratório relacionadas ao conhecimento de Engenharia Elétrica adquiridos pelo aluno nas disciplinas : CircuitosElétricos II, Eletricidade e Magnetismo, Dispositivos Eletrônicos.;;A.S.Sedra e K.C.Smith - Microeletrônica.,,R.L.Boylestad e L.Nashelsky - Dispositivos Eletrônicos e Teoria de Circuitos.,,TOCCI, R. J.; WIDMER, N.S.;Sistemas Digitais: Princípios eAplicações. Rio de Janeiro: LTC, 2000,,;;<nada>
Modelagem de Sistemas Elétricos;;TE048;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;1. Modelagem de sistemas por equações diferenciais<br>2. Equações diferenciais básicas em circuitos elétricos<br>3. Sistemas de equações diferenciais em circuitos elétricos<br>4. Equações diferenciais especiais em eletromagnetismo<br>5. Equações diferenciais parciais em eletromagnetismo<br>;;W. E. Boyce e R. C. Diprima;Equações Diferenciais Elementares e Problemas de Valores de Contorno;7ª ed.; LTC Editora; 2002;,,G. F. Simmons e S. G. Krantz;Equações Diferenciais;McGraw Hill; 2008;,,K. Ogata;Engenharia de Controle Moderno;Prentice Hall; 1982;,,;;<nada>
Eletrônica Digital I;;TE050;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Sistemas de Numeração; Álgebra Booleana, Portas Lógicas; Circuitos Lógicos Combinacionais;Circuitos de memória Flip-Flops; Circuitos Seqüenciais; Aritmética Binária; Simulação Lógica.;;?Sistemas Digitais ? Princípios e Aplicações?. Ronald Tocci e Neal Widmer. Editora Pearson - Education do Brasil,,?Eletrônica Digital Moderna?. Volnei A. Pedroni. Editora Campus.,,?Circuitos Digitais e Microprocessadores?. Herbert Taub. Editora Mc Graw Hill.,,;;?Eletrônica Digital?. James Bignell e Robert Donovan. Editora Cengage Learning,,?Digital Fundamentals?. Thomas Floyd. Editora Prentice Hall.,,
Circuitos Não Lineares;;TE051;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Circuitos não lineares com diodo;</li><li>Circuitos não lineares com transistor;</li><li>Circuitos não lineares com amplificador operacional;</li><li>Osciladores não-senoidais.</li></ol>;;<nada>;;<nada>
Laboratório de Engenharia Elétrica III;;TE052;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Atividades de laboratório relacionadas ao conhecimento de Engenharia Elétrica adquiridos pelo aluno nas disciplinas : CircuitosElétricos III e Eletrônica Digital I.;;A.S.Sedra e K.C.Smith - Microeletrônica.,,Richard C. Jaeger - Microelectronic Circuit Design -Mcgraw Hill, 1997.,,Behzad Razavi - Fundamentals of Microelectronics -Wiley, 2007,,;;<nada>
Ondas Eletromagnéticas;;TE053;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;1. Campo eletromagnético<br>2. Equações de Maxwell<br>3. Onda plana uniforme<br>4. Guias de onda<br>5. Dipolo eletromagnético<br>6. Potenciais eletromagnéticos<br>7. Antenas<br>;;Matthew N.O. Sadiku, Elementos doEletromagnetismo, Ed. Bookman, 3ª. EdiçãoISBN: 8536302755;,,William H. Hayt, Eletromagnetismo, 6ª.Edição, LTC;,,John R. Reitz, Frederick J. Milford, Robert W.Christy, Fundamentos da Teoria Eletromagnética,Ed. Campus.,,;;Carlos Peres Quevedo, Eletromagnetismo,Makron Books,,J. D. Jackson, Classical Electrodynamics, 2ndand 3rd Edition, John -Wiley.,,
Circuitos Eletrônicos Lineares;;TE054;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;1. Amplificadores com múltiplos estágios<br>2. Amplificadores realimentados<br>3. Amplificadores de potência<br>4. Filtros<br>5. Osciladores senoidais<br>;;?Microeletrônica?, Sedra e Smith.,,?Dispositivos eletrônicos e Teoria de Circuitos?, Boylestad e Nashelsky.,,?Eletrônica: dispositivos e circuitos?, vol. 1 e 2, Millman  Halkias.,,;;?Eletrônica?, Malvino.,,?Circuitos Eletrônicos Discretos e Integrados?, Schilling  Belove.,,
Teoria de Sistemas Lineares de Controle;;TE055;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Introdução aos Sistemas de Controle Realimentados, Dinâmica de Sistemas LinearesInvariantes no Tempo, Resposta Transitória, Critério de Routh, Especificações de desempenho,Tipos de Sistemas, Projeto de Controladores PID, Lugar das Raízes, Projeto usandoCompensador Avanço / Atraso, Análise no Domínio da Frequência, Margens de Fase e Ganho.;;Ogata, K.. Engenharia de controle moderno. 4ª.ed.; Ed. Prentice-Hall do Brasil, 2003.,,Franklin, G. F.; Powell, J.D.; Emami-Naeini, A.. Feedback control of dynamic systems. 4. ed.; Addison-Wesley Pub., 1997.,,Astrom, K.T. Hagglund. PID Controllers: Theory, Design,Tuning. Instrument Society of Amercia, 1995.,,;;Dorf, R. C. e R. H. Bishop. Sistemas de Controle Modernos. 8ª ed., LTC Editora, 2001.,,Nise, N. S.. Engenharia de Sistemas de Controle. 3ª. ed., LTC Editora, 2002.,,
Instalações Elétricas;;TE056;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Materiais e Dispositivos utilizados em Instalações Elétricas residenciais ecomerciais. Funções, aplicação, dimensionamento e especificações. Princípiosbásicos de instalações elétricas em baixa tensão. Projeto de instalações elétricasprediais. Projeto de instalações comerciais de grande porte.;;<nada>;;<nada>
Elaboração de Relatórios Técnicos;;TE058;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Elaboração de Relatórios Técnicos, Pareceres Técnicos, Perícia Técnica, Estudode Normas Técnicas da ABNT.;;<nada>;;<nada>
Laboratório de Engenharia Elétrica IV;;TE059;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Atividades de laboratório relacionadas a temas de Engenharia Elétrica abordados nasdisciplinas: Eletrônica Digital II, Amplificadores e Filtros Eletrônicos.;;SEDRA, Adel S.; SMITH, Kenneth C. Microeletrônica. 4.ed. São Paulo: Makron?Books?, 2000.,,;;NASHELSKY, Louis; BOYLESTAD, Robert L. Dispositivos eletrônicos e teoria decircuitos. 6.ed. Rio de Janeiro: Livros Técnicos e Científicos, 1998.,,MALVINO, Albert Paul. Eletrônica. 4.ed. São Paulo: Makron ?Books? do Brasil, 1995.2v.,,
Princípios de Comunicação;;TE060;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<ol><li>Representação de sinais e sistemas no domínio do tempo</li><li>Representação de sinais e sistemas no domínio da frequência</li><li>Modulação em amplitude</li><li>Modulação em frequência</li><li>Modulação por pulsos</li></ol>;;<nada>;;<nada>
Introdução aos Sistemas de Energia Elétrica;;TE061;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Estrutura do SEE.<br>Modelos Equivalentes dos componentes do SEE.<br>Noções de Fluxo de Potência.<br>Noções de despacho de geração.<br>Componentes simétricas.<br>;;A. Monticelli ? Introdução aos Sistemas de Enegia Elétrica.,,O. Elgert ? Introdução à Teoria de Sistemas de Energia Elétrica.,,W. Stevenson ? Elementos de Análise de Sistemas de Potência,,;;E.J. Robba ? Introdução a Sistemas de Elétricos de Potência,,L.C. Zanetta Jr. ? Fundamentos de Sistemas de Elétricos de Potência,,
Eletrônica de Potência;;TE062;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;58;;00;;02;;00;;00;;04 h;;Analise de dispositivos eletrônicos sob regime de chaveamento.Indutores e transformadores de pulso.<br>Princípios de funcionamento dos conversores estáticos retificadores, fonteschaveadas e inversores.<br>Método de comando de interruptores de potência.Regulação de tensãoInversores.<br>Princípios gerais de variadores de velocidade e de posição: estruturas,modelos, comportamento estático e dinâmico, desempenho.<br>;;Rashid, M. H. Eletrônica de Potência, circuitos, dispositivos e aplicações - Ed. MakronBooks, São Paulo 1999,,Ahmed, A. Eletrônica de Potência - Ed. Prentice Hall, São Paulo, 2000,,Barbi, I. Eletrônica de Potência - Edição do autor, Florianópolis, 2000,,;;Mohan, N.; Robbins, W. Power Eletronics converters, applicationsdesign - Secondedition, John Wiley  sons inc., New York, 1995,,Lander, C. W. Eletrônica Industrial - Teoria e Aplicações - Ed. McGraw-Hill, São Paulo 1981,,
Gerência de Projeto;;TE064;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Importância da gerência de projetos. Aspectos multidisciplinares de projetos.Ética, relações interpessoais e confidencialidade de dados e informações.Formação de custos de produtos e serviços. Métodos de avaliações técnicas dealternativas. Métodos de avaliação econômicas de alternativas. Estudo de casosde necessidades de clientes corporativos. Desenvolvimento de soluções. Criação,acompanhamento e execução de cronogramas. Tarifação horária. Estudo delegislações técnicas.;;<nada>;;<nada>
Ecologia, Ambiente e a Engenharia Elétrica;;TE065;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;30;;00;;00;;00;;00;;02 h;;Biosfera e seu equilíbrio. Efeitos da tecnologia sobre o equilíbrio ecológico.Preservação de recursos naturais. Riscos ambientais. Princípios de segurançaem projetos e construções de obras elétricas. Estatísticas e custos de acidentes.;;<nada>;;<nada>
Materiais Elétricos;;TE066;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;00 h;;00;;00;;00;;00;;00;;00 h;;<ol><li>METAIS;</li><li>POLÍMEROS;</li><li>CERÂMICAS.</li><ol>;;Van Vlack, Lawrence Hall, Princípios de ciências e tecnologia dos materiais / LawrenceHall Van Vlack; tradutor Edson Monteiro. Rio de Janeiro: Campus, 1984.,,Callister, William D., Materials scienceengineering / William D. Callister, JR. 3ed.,,Rezende, Ernani da Motta, Materiais usados em eletrotécnica / Ernani da MottaRezende. Rio de Janeiro, Interciência, 1977.,,Buchanan, R. C. Ceramic Materials for Eletronics, Marcel Dekker, INC.,,;;Apostilas do curso de Materiais elétricos, disponíveis na internet.,,
Laboratório de Engenharia Elétrica V;;TE067;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;30 h;;00;;30;;00;;00;;00;;02 h;;Realizar montagens e medições em laboratório envolvendo: MEDIÇÕES EM CORRENTEALTERNADA; QUALIDADE DE ENERGIA; PARTIDA DE MOTORES; AUTOMAÇÃO COM CLP;LUMINOTÉCNICA; ELETRÔNICA DE POTÊNCIA; e INSTRUMENTAÇÃO ELETRÔNICA.;;CREDER, Hélio. Instalações Elétricas. 15ª Ed. São Paulo: LTC, 2007. ISBN: 8521615671,,NISKIER, Julio; MACINTYRE, Archibald Joseph. Instalações elétricas. 5. ed. Rio de Janeiro:LTC, 2008.,,;;BOYLESTAD, Robert L.; NASHELSKY, Louis. Dispositivos eletrônicos e teoria de circuitos.8. ed. São Paulo: Pearson Prentice Hall, 2004.,,MILLMAN, Jacob; HALKIAS, Christos C. Eletrônica: dispositivos e circuitos. São Paulo:Makron Books, 1981.,,
Física dos Semicondutores;;TE069;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Junção PN, Junção Metal ? Semicondutor, Dispositivos;;<nada>;;<nada>
Processamento Digital de Sinais I;;TE072;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Sinais e Processamento de Sinais, Sistemas em Tempo Discreto, Convolução, A TransformadaZ e suas Aplicações na Análise de Sistemas Lineares Invariantes no Tempo Discreto, Análise deSinais e Sistemas no Domínio da Freqüência, Série e Transformada de Fourier, A Transformadade Fourier Discreta, Projeto de Filtros Digitais IIR e FIR, Amostragem e Reconstrução de Sinais;;Proakis, J., Manolakis, D. M., Digital Signal Processing ? Principles, AlgorithmsApplications,Prentice-Hall International Inc., 3rd edition, 1996.,,Proakis, J., Ingle, V. K., Digital Signal Processing, Boston, PWS Publishing Company, 1999,,Oppenheim, A., A. S. Willsky, SignalSystems, Prentice-Hall, 2rd edition, 1997.,,;;Diniz, P. S. R., Silva, E. A. B. e Netto, S. L., Processamento Digital de Sinais - Projeto e análise desistemas, Bookman, 2004.,,Haykin, S. e Veen, B. V., Sinais e Sistemas, Porto Alegre, Bookman, 2001.,,
Processamento Digital de Sinais II;;TE073;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;40;;20;;00;;00;;00;;04 h;;Filtragem Adaptativa. Tópicos em Processamento de Imagens. Tópicos em Processamento de voz.Tópicos em Processamento de vídeo.;;Alan V. Oppenheim, Ronald W. Schafer, John R. Buck, Discrete-Time Signal Processing, Prentice-Hall,2nd Ed., 1999.,,;;L.R.Rabiner, R.W.Schafer, Digital Processing of Speech Signals,Prentice Hall, 1978.,,Jain, Fundamentals of Digital Image Processing, Prentice Hall, 1989.,,S. Haykin, Adaptive Filter Theory, Prentice Hall, 1986.,,Haykin, Neural Networks, Ieee Press, 1994.,,
Tópicos Especiais em Energia Elétrica;;TE078;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Teoria dos conversores CC/CC: princípios, tipos de modulação; Apresentaçãodas técnicas de correção do fator de potência utilizando o conversor boost eoutras topologias; Teoria dos inversores: princípios, técnicas de controle.;;Muhammad, Rashid. Eletrônica de Potência. Editora: Makron Books, 1999.,,Ahmed, A. Eletrônica de Potência, Prentice-Hall, São Paulo, 2000.,,Mohan,N; Underland,T.M. e Robbins,W.P. ?Power Electronics: Converters, Applications andDesign? WilleySons - 1998,,;;Barbi, Ivo. Eletrônica de Potência. 4ª Edição, UFSC, 2000.,,Barbi, Ivo.  MARTINS Denizar Cruz. Conversores CC-CC Básicos Não-Isolados. 1ªedição, UFSC, 2001.,,Barbi, Ivo.  MARTINS Denizar Cruz. Introdução ao Estudo dos Conversores CC-CA. 1ªedição, UFSC.,,Erickson, R.W. ?Fundamentals of Power Electronics? Chapman  Hall. 1997,,
Planejamento de Sistemas de Telecomunicações;;TE081;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;<li>Conceitos Básicos em Telecomunicações</li><li>Formação de Rede</li><li>Elementos Constituintes das Redes de Telecomunicações</li><ol><li>Modelo das Quatro Camadas</li><li>Classificações dos Serviços de Telecomunicação</li><li>Teoria de Tráfego Telefônico uso prático</li><li>Plano Estrutural de Numeração</li><li>Plano Estrutural de Encaminhamento</li><li>Plano Estrutural de Tarifação</li><li>Plano Estrutural de Sinalização</li><li>Plano Estrutural de Transmissão</li><li>Plano Estrutural de Sincronismo</li></ol>;;SISTEMAS TELEFÓNICOS ? Paul Jean Etienne Jeszensky ? Editora Manole,,DIGITAL TELEPHONY ? John C. BELLAMY ? Wiley Series in Telecommunications,,APOSTILA INTRODUÇÃO ÀS REDES DE TELECOMUNICAÇÕES ? ProfessorRoberto Heinrich,,;;TELECOMUNICAÇÕES ? Juarez do Nascimento ? Makron Books,,NEWTON?S TELECOM DICTIONARY ? Harry Newton ? Flatiron Publishing,,
Microondas;;TE082;;Obrigatoria;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Análise do espectro de freqüências; Introdução ao estudo de Microondas;Utilização das Microondas; Projeto de circuitos em Microondas ? filtros,atenuadores e osciladores: Carta de Smith.;;<nada>;;<nada>
Linhas de Transmissão;;TE083;;Optativa;;Semestral;;<nenhum>;;<nenhum>;;Presencial;;60 h;;60;;00;;00;;00;;00;;04 h;;Modelagem das Linhas de Transmissão; Estudos dos parâmetros da Linha;Casamentos simples e casamentos duplos; Tipos de Linhas e utilização dasLinhas de Transmissão.;;<nada>;;<nada>
